interval,id,ts_send,ts_start,ts_end,e2e
20.0,40.5,1.6795856533418025e+18,0.0,1.679585653355454e+18,13.651309048780487
21.0,124.0,1.6795856574045276e+18,0.0,1.6795856574152074e+18,10.679919623529413
22.0,211.0,1.67958566147931e+18,0.0,1.6795856614900488e+18,10.738644662921349
23.0,302.0,1.6795856655602898e+18,0.0,1.679585665570881e+18,10.59134023655914
24.0,397.0,1.6795856696322324e+18,0.0,1.6795856696425943e+18,10.361578721649485
25.0,470.5,1.679585672658575e+18,0.0,1.6795856726691907e+18,10.615620960000001
26.0,547.5,1.6795856756919706e+18,0.0,1.6795856757048724e+18,12.901796576923077
27.0,626.0,1.679585678696871e+18,0.0,1.6795856787092608e+18,12.389986603773586
28.0,680.5,1.6795856807094205e+18,0.0,1.6795856807198093e+18,10.388801357142857
29.0,766.0,1.6795856837622856e+18,0.0,1.6795856837726817e+18,10.396123539130434
30.0,853.5,1.6795856867543e+18,0.0,1.6795856867661332e+18,11.833448233333334
31.0,914.5,1.6795856887560876e+18,0.0,1.679585688768714e+18,12.626149096774194
32.0,977.5,1.6795856907643407e+18,0.0,1.6795856907770995e+18,12.7587405
33.0,1042.5,1.679585692771159e+18,0.0,1.6795856927848666e+18,13.707818469696969
34.0,1110.0,1.6795856947854625e+18,0.0,1.6795856947966415e+18,11.17890824637681
36.0,1180.0,1.679585696808812e+18,0.0,1.6795856968228547e+18,14.042506183098592
37.0,1252.0,1.67958569881785e+18,0.0,1.6795856988305897e+18,12.73962615068493
38.0,1326.5,1.6795857008192315e+18,0.0,1.679585700834386e+18,15.154367815789476
40.0,1404.0,1.6795857028261955e+18,0.0,1.6795857028412718e+18,15.076362455696202
42.0,1485.0,1.6795857048355976e+18,0.0,1.6795857048485878e+18,12.99024448192771
43.0,1569.5,1.6795857068481649e+18,0.0,1.6795857068589755e+18,10.81056473255814
45.0,1657.5,1.6795857088601897e+18,0.0,1.679585708872778e+18,12.58826732222222
48.0,1749.5,1.6795857108668577e+18,0.0,1.6795857108777777e+18,10.920101957446807
50.0,1846.0,1.679585712875716e+18,0.0,1.6795857128877734e+18,12.05701492929293
53.0,1947.5,1.6795857148869018e+18,0.0,1.679585714898655e+18,11.753579624999999
56.0,2054.5,1.6795857168944346e+18,0.0,1.6795857169080968e+18,13.661927799999999
59.0,2167.5,1.679585718899883e+18,0.0,1.6795857189133135e+18,13.430854594827586
62.0,2287.5,1.6795857209226688e+18,0.0,1.6795857209349174e+18,12.248642
67.0,2415.0,1.6795857229327839e+18,0.0,1.679585722946159e+18,13.375337145038166
71.0,2550.5,1.6795857249464225e+18,0.0,1.6795857249667584e+18,20.335985464285713
77.0,2695.5,1.6795857269594609e+18,0.0,1.6795857269759547e+18,16.493777893333334
83.0,2852.5,1.6795857289645417e+18,0.0,1.6795857289831037e+18,18.56212518902439
91.0,3022.5,1.679585730965354e+18,0.0,1.6795857309835397e+18,18.1861354375
100.0,3209.0,1.6795857329682158e+18,0.0,1.6795857331628974e+18,32.0
